Cutoff,Home Team,Away Team,Margin,PMF
2026-03-17,Liberty,George Mason,-130,3.224835700680827e-22
2026-03-17,Liberty,George Mason,-129,8.076042907071869e-21
2026-03-17,Liberty,George Mason,-128,1.0395464650188064e-19
2026-03-17,Liberty,George Mason,-127,9.163916390007332e-19
2026-03-17,Liberty,George Mason,-126,6.219815032381039e-18
2026-03-17,Liberty,George Mason,-125,3.4649023022944304e-17
2026-03-17,Liberty,George Mason,-124,1.649276014179671e-16
2026-03-17,Liberty,George Mason,-123,6.895638677965315e-16
2026-03-17,Liberty,George Mason,-122,2.58378638950415e-15
2026-03-17,Liberty,George Mason,-121,8.809624858396578e-15
2026-03-17,Liberty,George Mason,-120,2.7660535563489533e-14
2026-03-17,Liberty,George Mason,-119,8.074752446661728e-14
2026-03-17,Liberty,George Mason,-118,2.2088936916595913e-13
2026-03-17,Liberty,George Mason,-117,5.699539401744157e-13
2026-03-17,Liberty,George Mason,-116,1.394843424474213e-12
2026-03-17,Liberty,George Mason,-115,3.253006736830741e-12
2026-03-17,Liberty,George Mason,-114,7.259246670028502e-12
2026-03-17,Liberty,George Mason,-113,1.555573785134419e-11
2026-03-17,Liberty,George Mason,-112,3.210994508073853e-11
2026-03-17,Liberty,George Mason,-111,6.402345136273368e-11
2026-03-17,Liberty,George Mason,-110,1.236112262817055e-10
2026-03-17,Liberty,George Mason,-109,2.3160757481137624e-10
2026-03-17,Liberty,George Mason,-108,4.219727808099461e-10
2026-03-17,Liberty,George Mason,-107,7.489126408618646e-10
2026-03-17,Liberty,George Mason,-106,1.296879138830592e-09
2026-03-17,Liberty,George Mason,-105,2.194489834798875e-09
2026-03-17,Liberty,George Mason,-104,3.6334794698532905e-09
2026-03-17,Liberty,George Mason,-103,5.8939713518155875e-09
2026-03-17,Liberty,George Mason,-102,9.377518522947165e-09
2026-03-17,Liberty,George Mason,-101,1.4649505202707097e-08
2026-03-17,Liberty,George Mason,-100,2.2492607599229626e-08
2026-03-17,Liberty,George Mason,-99,3.397308133030482e-08
2026-03-17,Liberty,George Mason,-98,5.052166422216415e-08
2026-03-17,Liberty,George Mason,-97,7.403085528440647e-08
2026-03-17,Liberty,George Mason,-96,1.0697025427043878e-07
2026-03-17,Liberty,George Mason,-95,1.5252152681478822e-07
2026-03-17,Liberty,George Mason,-94,2.1473440737463282e-07
2026-03-17,Liberty,George Mason,-93,2.9870497965308247e-07
2026-03-17,Liberty,George Mason,-92,4.107772984840867e-07
2026-03-17,Liberty,George Mason,-91,5.587692568994985e-07
2026-03-17,Liberty,George Mason,-90,7.52223476436793e-07
2026-03-17,Liberty,George Mason,-89,1.0026839258996872e-06
2026-03-17,Liberty,George Mason,-88,1.3239989695022724e-06
2026-03-17,Liberty,George Mason,-87,1.732651621462402e-06
2026-03-17,Liberty,George Mason,-86,2.2481179474055214e-06
2026-03-17,Liberty,George Mason,-85,2.8932548041211387e-06
2026-03-17,Liberty,George Mason,-84,3.694718442441409e-06
2026-03-17,Liberty,George Mason,-83,4.683415900729103e-06
2026-03-17,Liberty,George Mason,-82,5.8949915696423336e-06
2026-03-17,Liberty,George Mason,-81,7.370351787576026e-06
2026-03-17,Liberty,George Mason,-80,9.156230800591694e-06
2026-03-17,Liberty,George Mason,-79,1.1305801857019492e-05
2026-03-17,Liberty,George Mason,-78,1.3879337568973812e-05
2026-03-17,Liberty,George Mason,-77,1.6944923923272598e-05
2026-03-17,Liberty,George Mason,-76,2.057923242528573e-05
2026-03-17,Liberty,George Mason,-75,2.486835477499204e-05
2026-03-17,Liberty,George Mason,-74,2.9908704171328976e-05
2026-03-17,Liberty,George Mason,-73,3.5807986788448064e-05
2026-03-17,Liberty,George Mason,-72,4.2686246139462644e-05
2026-03-17,Liberty,George Mason,-71,5.0676981918024125e-05
2026-03-17,Liberty,George Mason,-70,5.992834346892124e-05
2026-03-17,Liberty,George Mason,-69,7.060439627446862e-05
2026-03-17,Liberty,George Mason,-68,8.288645774782938e-05
2026-03-17,Liberty,George Mason,-67,9.697449619735565e-05
2026-03-17,Liberty,George Mason,-66,0.00011308858407315387
2026-03-17,Liberty,George Mason,-65,0.00013147039354018567
2026-03-17,Liberty,George Mason,-64,0.00015238471905963265
2026-03-17,Liberty,George Mason,-63,0.0001761210080274038
2026-03-17,Liberty,George Mason,-62,0.0002029948766486984
2026-03-17,Liberty,George Mason,-61,0.0002333495841621373
2026-03-17,Liberty,George Mason,-60,0.00026755743431725824
2026-03-17,Liberty,George Mason,-59,0.00030602106871660957
2026-03-17,Liberty,George Mason,-58,0.00034917461233113366
2026-03-17,Liberty,George Mason,-57,0.00039748462727001645
2026-03-17,Liberty,George Mason,-56,0.0004514508268316845
2026-03-17,Liberty,George Mason,-55,0.0005116064980925116
2026-03-17,Liberty,George Mason,-54,0.0005785185779288422
2026-03-17,Liberty,George Mason,-53,0.0006527873245540166
2026-03-17,Liberty,George Mason,-52,0.000735045524535149
2026-03-17,Liberty,George Mason,-51,0.0008259571739948142
2026-03-17,Liberty,George Mason,-50,0.0009262155724688572
2026-03-17,Liberty,George Mason,-49,0.0010365407688564241
2026-03-17,Liberty,George Mason,-48,0.0011576763012354752
2026-03-17,Liberty,George Mason,-47,0.0012903851761959311
2026-03-17,Liberty,George Mason,-46,0.001435445038921663
2026-03-17,Liberty,George Mason,-45,0.0015936424926738092
2026-03-17,Liberty,George Mason,-44,0.001765766535708165
2026-03-17,Liberty,George Mason,-43,0.0019526010950834814
2026-03-17,Liberty,George Mason,-42,0.0021549166503290183
2026-03-17,Liberty,George Mason,-41,0.002373460955533156
2026-03-17,Liberty,George Mason,-40,0.002608948886027506
2026-03-17,Liberty,George Mason,-39,0.0028620514553446877
2026-03-17,Liberty,George Mason,-38,0.003133384069323943
2026-03-17,Liberty,George Mason,-37,0.003423494106850553
2026-03-17,Liberty,George Mason,-36,0.0037328479403875357
2026-03-17,Liberty,George Mason,-35,0.004061817533754252
2026-03-17,Liberty,George Mason,-34,0.004410666779011038
2026-03-17,Liberty,George Mason,-33,0.004779537758231866
2026-03-17,Liberty,George Mason,-32,0.005168437138732392
2026-03-17,Liberty,George Mason,-31,0.005577222931258086
2026-03-17,Liberty,George Mason,-30,0.006005591858977365
2026-03-17,Liberty,George Mason,-29,0.0064530676000979555
2026-03-17,Liberty,George Mason,-28,0.006918990177763486
2026-03-17,Liberty,George Mason,-27,0.007402506776851099
2026-03-17,Liberty,George Mason,-26,0.007902564267692794
2026-03-17,Liberty,George Mason,-25,0.008417903710980414
2026-03-17,Liberty,George Mason,-24,0.008947057105694692
2026-03-17,Liberty,George Mason,-23,0.009488346622472736
2026-03-17,Liberty,George Mason,-22,0.010039886538212545
2026-03-17,Liberty,George Mason,-21,0.010599588053916215
2026-03-17,Liberty,George Mason,-20,0.011165167137014757
2026-03-17,Liberty,George Mason,-19,0.011734155482138959
2026-03-17,Liberty,George Mason,-18,0.012303914631177826
2026-03-17,Liberty,George Mason,-17,0.012871653235399825
2026-03-17,Liberty,George Mason,-16,0.013434447380527318
2026-03-17,Liberty,George Mason,-15,0.013989263831272926
2026-03-17,Liberty,George Mason,-14,0.014532985986466108
2026-03-17,Liberty,George Mason,-13,0.015062442271151354
2026-03-17,Liberty,George Mason,-12,0.015574436629651226
2026-03-17,Liberty,George Mason,-11,0.016065780725325114
2026-03-17,Liberty,George Mason,-10,0.016533327400368364
2026-03-17,Liberty,George Mason,-9,0.01697400490416335
2026-03-17,Liberty,George Mason,-8,0.017384851362956442
2026-03-17,Liberty,George Mason,-7,0.017763048938341425
2026-03-17,Liberty,George Mason,-6,0.01810595710828099
2026-03-17,Liberty,George Mason,-5,0.01841114450300041
2026-03-17,Liberty,George Mason,-4,0.01867641873950772
2026-03-17,Liberty,George Mason,-3,0.018899853722843567
2026-03-17,Liberty,George Mason,-2,0.019079813919163514
2026-03-17,Liberty,George Mason,-1,0.01921497515475454
