Cutoff,Home Team,Away Team,Home Points,Away Points,Joint PMF
2026-03-17,Liberty,George Mason,0,0,2.1721776056502817e-33
2026-03-17,Liberty,George Mason,1,0,4.967950054730943e-32
2026-03-17,Liberty,George Mason,2,0,5.841076240478933e-31
2026-03-17,Liberty,George Mason,3,0,4.703919094207143e-30
2026-03-17,Liberty,George Mason,4,0,2.9169322696180226e-29
2026-03-17,Liberty,George Mason,5,0,1.4846784027106658e-28
2026-03-17,Liberty,George Mason,6,0,6.4570249532734585e-28
2026-03-17,Liberty,George Mason,7,0,2.4666079005525652e-27
2026-03-17,Liberty,George Mason,8,0,8.443873493860306e-27
2026-03-17,Liberty,George Mason,9,0,2.6300244081738644e-26
2026-03-17,Liberty,George Mason,10,0,7.542636956110458e-26
2026-03-17,Liberty,George Mason,11,0,2.0108549230480553e-25
2026-03-17,Liberty,George Mason,12,0,5.022614627663776e-25
2026-03-17,Liberty,George Mason,13,0,1.1830393264136161e-24
2026-03-17,Liberty,George Mason,14,0,2.6422661999797436e-24
2026-03-17,Liberty,George Mason,15,0,5.622140280347762e-24
2026-03-17,Liberty,George Mason,16,0,1.1442857872205965e-23
2026-03-17,Liberty,George Mason,17,0,2.2356674394240816e-23
2026-03-17,Liberty,George Mason,18,0,4.205948719256006e-23
2026-03-17,Liberty,George Mason,19,0,7.639980763691362e-23
2026-03-17,Liberty,George Mason,20,0,1.343221117837695e-22
2026-03-17,Liberty,George Mason,21,0,2.2907252330602356e-22
2026-03-17,Liberty,George Mason,22,0,3.796785004335017e-22
2026-03-17,Liberty,George Mason,23,0,6.126903194475613e-22
2026-03-17,Liberty,George Mason,24,0,9.641413112618924e-22
2026-03-17,Liberty,George Mason,25,0,1.481647789298026e-21
2026-03-17,Liberty,George Mason,26,0,2.2265313036224984e-21
2026-03-17,Liberty,George Mason,27,0,3.2758091022466266e-21
2026-03-17,Liberty,George Mason,28,0,4.723867892257648e-21
2026-03-17,Liberty,George Mason,29,0,6.683615684134469e-21
2026-03-17,Liberty,George Mason,30,0,9.286900723695348e-21
2026-03-17,Liberty,George Mason,31,0,1.2683998302788166e-20
2026-03-17,Liberty,George Mason,32,0,1.7041997137786995e-20
2026-03-17,Liberty,George Mason,33,0,2.2541966748248287e-20
2026-03-17,Liberty,George Mason,34,0,2.937485365711066e-20
2026-03-17,Liberty,George Mason,35,0,3.773613323595969e-20
2026-03-17,Liberty,George Mason,36,0,4.7819330084066754e-20
2026-03-17,Liberty,George Mason,37,0,5.980860638568293e-20
