Cutoff,Home Team,Away Team,Home Points,Away Points,Joint PMF
2026-03-17,Yale,UNC Wilmington,0,0,1.1609962093541428e-33
2026-03-17,Yale,UNC Wilmington,1,0,2.6859649713585233e-32
2026-03-17,Yale,UNC Wilmington,2,0,3.194479037065634e-31
2026-03-17,Yale,UNC Wilmington,3,0,2.6022401232181347e-30
2026-03-17,Yale,UNC Wilmington,4,0,1.6322642340964154e-29
2026-03-17,Yale,UNC Wilmington,5,0,8.40367527533159e-29
2026-03-17,Yale,UNC Wilmington,6,0,3.6969039511580754e-28
2026-03-17,Yale,UNC Wilmington,7,0,1.4284684442228477e-27
2026-03-17,Yale,UNC Wilmington,8,0,4.946215106956869e-27
2026-03-17,Yale,UNC Wilmington,9,0,1.558287713606234e-26
2026-03-17,Yale,UNC Wilmington,10,0,4.5202599767486675e-26
2026-03-17,Yale,UNC Wilmington,11,0,1.218902482263733e-25
2026-03-17,Yale,UNC Wilmington,12,0,3.079368645463101e-25
2026-03-17,Yale,UNC Wilmington,13,0,7.336182340743293e-25
2026-03-17,Yale,UNC Wilmington,14,0,1.657227134536361e-24
2026-03-17,Yale,UNC Wilmington,15,0,3.566457157750839e-24
2026-03-17,Yale,UNC Wilmington,16,0,7.341671637150339e-24
2026-03-17,Yale,UNC Wilmington,17,0,1.4507344999976317e-23
2026-03-17,Yale,UNC Wilmington,18,0,2.760324088528901e-23
2026-03-17,Yale,UNC Wilmington,19,0,5.071059725779395e-23
2026-03-17,Yale,UNC Wilmington,20,0,9.016941190618578e-23
2026-03-17,Yale,UNC Wilmington,21,0,1.555194859140663e-22
2026-03-17,Yale,UNC Wilmington,22,0,2.6068895893598602e-22
2026-03-17,Yale,UNC Wilmington,23,0,4.254388218856543e-22
2026-03-17,Yale,UNC Wilmington,24,0,6.770501168293838e-22
2026-03-17,Yale,UNC Wilmington,25,0,1.0522128537704084e-21
2026-03-17,Yale,UNC Wilmington,26,0,1.5990436428259347e-21
2026-03-17,Yale,UNC Wilmington,27,0,2.379125123655964e-21
