Cutoff,Home Team,Away Team,Home Points,Away Points,Joint PMF
2026-03-18,Illinois Chicago,California,0,0,1.6900320009014448e-33
2026-03-18,Illinois Chicago,California,1,0,3.863368076984597e-32
2026-03-18,Illinois Chicago,California,2,0,4.54015664421443e-31
2026-03-18,Illinois Chicago,California,3,0,3.654489582918404e-30
2026-03-18,Illinois Chicago,California,4,0,2.2650718286322877e-29
2026-03-18,Illinois Chicago,California,5,0,1.1523292859512054e-28
2026-03-18,Illinois Chicago,California,6,0,5.0091619622944495e-28
2026-03-18,Illinois Chicago,California,7,0,1.912585920987647e-27
2026-03-18,Illinois Chicago,California,8,0,6.544110254102215e-27
2026-03-18,Illinois Chicago,California,9,0,2.0373073331142762e-26
2026-03-18,Illinois Chicago,California,10,0,5.839930527700023e-26
2026-03-18,Illinois Chicago,California,11,0,1.556154628621379e-25
2026-03-18,Illinois Chicago,California,12,0,3.8849839518144472e-25
2026-03-18,Illinois Chicago,California,13,0,9.146306356703065e-25
2026-03-18,Illinois Chicago,California,14,0,2.041785669565186e-24
2026-03-18,Illinois Chicago,California,15,0,4.342322845652227e-24
2026-03-18,Illinois Chicago,California,16,0,8.833679054564177e-24
2026-03-18,Illinois Chicago,California,17,0,1.7250465834999894e-23
2026-03-18,Illinois Chicago,California,18,0,3.2437243809957506e-23
2026-03-18,Illinois Chicago,California,19,0,5.889228672118724e-23
2026-03-18,Illinois Chicago,California,20,0,1.0349030828879215e-22
2026-03-18,Illinois Chicago,California,21,0,1.7640505411644987e-22
2026-03-18,Illinois Chicago,California,22,0,2.922400431281515e-22
2026-03-18,Illinois Chicago,California,23,0,4.713573362235882e-22
2026-03-18,Illinois Chicago,California,24,0,7.413705354015285e-22
2026-03-18,Illinois Chicago,California,25,0,1.1387406648981344e-21
2026-03-18,Illinois Chicago,California,26,0,1.710384402478767e-21
2026-03-18,Illinois Chicago,California,27,0,2.5151762665435558e-21
2026-03-18,Illinois Chicago,California,28,0,3.6252032068031666e-21
2026-03-18,Illinois Chicago,California,29,0,5.126615032030155e-21
2026-03-18,Illinois Chicago,California,30,0,7.11991030403559e-21
2026-03-18,Illinois Chicago,California,31,0,9.719507002971296e-21
2026-03-18,Illinois Chicago,California,32,0,1.305247154217943e-20
2026-03-18,Illinois Chicago,California,33,0,1.7256318304556823e-20
2026-03-18,Illinois Chicago,California,34,0,2.2475843031783454e-20
2026-03-18,Illinois Chicago,California,35,0,2.885901397516082e-20
2026-03-18,Illinois Chicago,California,36,0,3.6552010421613796e-20
2026-03-18,Illinois Chicago,California,37,0,4.569356399221092e-20
2026-03-18,Illinois Chicago,California,38,0,5.640881864194854e-20
2026-03-18,Illinois Chicago,California,39,0,6.880297546422793e-20
2026-03-18,Illinois Chicago,California,40,0,8.295502383077808e-20
2026-03-18,Illinois Chicago,California,41,0,9.891187781092256e-20
2026-03-18,Illinois Chicago,California,42,0,1.1668323436483482e-19
2026-03-18,Illinois Chicago,California,43,0,1.3623744721254935e-19
2026-03-18,Illinois Chicago,California,44,0,1.5749866882977237e-19
2026-03-18,Illinois Chicago,California,45,0,1.8034545542002512e-19
2026-03-18,Illinois Chicago,California,46,0,2.0461095982238221e-19
2026-03-18,Illinois Chicago,California,47,0,2.300847597994697e-19
2026-03-18,Illinois Chicago,California,48,0,2.5651628907932877e-19
2026-03-18,Illinois Chicago,California,49,0,2.8361976095081914e-19
2026-03-18,Illinois Chicago,California,50,0,3.1108040381116983e-19
2026-03-18,Illinois Chicago,California,51,0,3.3856176879448334e-19
2026-03-18,Illinois Chicago,California,52,0,3.657138244907943e-19
2026-03-18,Illinois Chicago,California,53,0,3.9218152472715736e-19
2026-03-18,Illinois Chicago,California,54,0,4.176135232102472e-19
2026-03-18,Illinois Chicago,California,55,0,4.416707132253013e-19
2026-03-18,Illinois Chicago,California,56,0,4.640342902536445e-19
2026-03-18,Illinois Chicago,California,57,0,4.844130682278953e-19
2026-03-18,Illinois Chicago,California,58,0,5.025498235006863e-19
2026-03-18,Illinois Chicago,California,59,0,5.182264914167008e-19
2026-03-18,Illinois Chicago,California,60,0,5.31268095468433e-19
2026-03-18,Illinois Chicago,California,61,0,5.415453452751062e-19
2026-03-18,Illinois Chicago,California,62,0,5.489758941994885e-19
2026-03-18,Illinois Chicago,California,63,0,5.535242978469456e-19
2026-03-18,Illinois Chicago,California,64,0,5.552007589954213e-19
2026-03-18,Illinois Chicago,California,65,0,5.54058781256179e-19
2026-03-18,Illinois Chicago,California,66,0,5.501918820736371e-19
2026-03-18,Illinois Chicago,California,67,0,5.437295351893277e-19
2026-03-18,Illinois Chicago,California,68,0,5.348325235405985e-19
2026-03-18,Illinois Chicago,California,69,0,5.236878862723083e-19
