Cutoff,Home Team,Away Team,Home Points,Away Points,Joint PMF
2026-03-18,Oklahoma St.,Davidson,0,0,4.13976479441141e-34
2026-03-18,Oklahoma St.,Davidson,1,0,9.669424063035353e-33
2026-03-18,Oklahoma St.,Davidson,2,0,1.1610535078882308e-31
2026-03-18,Oklahoma St.,Davidson,3,0,9.548781518048017e-31
2026-03-18,Oklahoma St.,Davidson,4,0,6.046942587383395e-30
2026-03-18,Oklahoma St.,Davidson,5,0,3.143082392308682e-29
2026-03-18,Oklahoma St.,Davidson,6,0,1.395924898105425e-28
2026-03-18,Oklahoma St.,Davidson,7,0,5.445378989752862e-28
2026-03-18,Oklahoma St.,Davidson,8,0,1.903531883058296e-27
2026-03-18,Oklahoma St.,Davidson,9,0,6.054252762353506e-27
2026-03-18,Oklahoma St.,Davidson,10,0,1.7729563431883263e-26
2026-03-18,Oklahoma St.,Davidson,11,0,4.8263768004055026e-26
2026-03-18,Oklahoma St.,Davidson,12,0,1.2309131702124303e-25
2026-03-18,Oklahoma St.,Davidson,13,0,2.9603638269152457e-25
2026-03-18,Oklahoma St.,Davidson,14,0,6.750904064124769e-25
2026-03-18,Oklahoma St.,Davidson,15,0,1.4666195202005406e-24
2026-03-18,Oklahoma St.,Davidson,16,0,3.0476949937744532e-24
2026-03-18,Oklahoma St.,Davidson,17,0,6.0793346928514064e-24
2026-03-18,Oklahoma St.,Davidson,18,0,1.1676566572933657e-23
2026-03-18,Oklahoma St.,Davidson,19,0,2.1653898995070572e-23
2026-03-18,Oklahoma St.,Davidson,20,0,3.886638679757016e-23
2026-03-18,Oklahoma St.,Davidson,21,0,6.766630678625113e-23
2026-03-18,Oklahoma St.,Davidson,22,0,1.1449278928041892e-22
2026-03-18,Oklahoma St.,Davidson,23,0,1.8860599158766402e-22
2026-03-18,Oklahoma St.,Davidson,24,0,3.0296817768834093e-22
2026-03-18,Oklahoma St.,Davidson,25,0,4.752613708335068e-22
2026-03-18,Oklahoma St.,Davidson,26,0,7.290154974641299e-22
